-------------------------------------------------------------------------------
Interface  Vsan   Admin  Admin   Status       SFP    Oper  Oper   Port
                  Mode   Trunk                       Mode  Speed  Channel
                         Mode                              (Gbps)
-------------------------------------------------------------------------------
fc12/3     11     FX     off     up           swl   F      8      --
fc12/4     1      FX     off     down         swl    --    --     --
fc12/5     11     FX     off     up           swl   F      8      --
fc12/6     11     FX     off     up           swl   F      8      --
fc12/7     1      FX     off     down         swl    --    --     --
fc12/8     11     FX     off     up           swl   F      8      --
fc12/9     11     FX     off     up           swl   F      8      --
fc12/10    1      FX     off     down         swl    --    --     --
fc12/11    11     FX     off     up           swl   F      8      --
fc12/12    3      FX     off     up           swl   F      8      --
fc12/13    1      FX     off     down         swl    --    --     --
fc12/14    11     FX     off     up           swl   F      8      --
fc12/15    11     FX     off     up           swl   F      8      --
fc12/16    11     FX     off     up           swl   F      8      --
fc12/17    11     FX     off     up           swl   F      8      --
fc12/18    11     FX     off     up           swl   F      8      --
fc12/19    11     FX     off     up           swl   F      8      --
fc12/20    11     FX     off     up           swl   F      8      --
fc12/21    11     FX     off     up           swl   F      8      --
fc12/22    11     FX     off     up           swl   F      8      --
fc12/23    11     FX     off     up           swl   F      8      --
fc12/24    11     FX     off     up           swl   F      8      --
fc12/25    11     FX     off     up           swl   F      8      --
fc12/26    11     FX     off     up           swl   F      8      --
fc12/27    11     FX     off     up           swl   F      8      --
fc12/28    11     FX     off     up           swl   F      8      --
fc12/29    11     FX     off     up           swl   F      8      --
fc12/30    3      FX     off     up           swl   F      8      --
fc12/31    1      FX     on      down         swl    --    --     --
fc12/32    11     FX     off     up           swl   F      8      --
fc12/33    11     FX     off     up           swl   F      8      --
fc12/34    11     FX     off     up           swl   F      8      --
fc12/35    11     FX     off     up           swl   F      8      --
fc12/36    3      FX     off     up           swl   F      8      --
fc12/37    11     FX     off     up           swl   F      8      --
fc12/38    11     FX     off     up           swl   F      8      --
fc12/39    11     FX     off     up           swl   F      8      --
fc12/40    11     FX     off     up           swl   F      8      --
fc12/41    11     FX     off     up           swl   F      8      --
fc12/42    3      FX     off     up           swl   F      8      --
fc12/43    11     FX     off     up           swl   F      8      --
fc12/44    11     FX     off     up           swl   F      8      --
fc12/45    1      FX     on      down         swl    --    --     --
fc12/46    11     FX     off     up           swl   F      8      --
fc12/47    11     FX     off     up           swl   F      8      --
fc12/48    3      FX     off     up           swl   F      8      --

-------------------------------------------------------------------------------
Interface                Status                            Speed
                                                           (Gbps)
-------------------------------------------------------------------------------
sup-fc0                  up                                1

-------------------------------------------------------------------------------
Interface               Status     IP Address         Speed     MTU
-------------------------------------------------------------------------------
mgmt0                    up         10.10.55.6/25      1 Gbps   1500

-------------------------------------------------------------------------------
Interface             Vsan  Admin  Status        Oper  Oper    IP
                            Trunk                Mode  Speed   Address
                            Mode                       (Gbps)
-------------------------------------------------------------------------------
port-channel21        1     on     trunking       TE   48      --
port-channel23        1     on     trunking       TE   48      --
